"","Site.Length","Elevation","Habitat"
"AB.11",550,7,"AB"
"AB.12",1950,15,"AB"
"AB.3",1450,7,"AB"
"AB.4",1450,15,"AB"
"FS.11",200,5,"FS"
"FS.3",2100,5,"FS"
"FS.4",2050,5,"FS"
"LG.11",150,300,"LG"
"LG.13",350,300,"LG"
"LG.14",250,250,"LG"
"LG.5",2650,300,"LG"
"LG.6",3250,250,"LG"
"LS.11",2400,95,"LS"
"LS.12",1450,110,"LS"
"LS.5",850,95,"LS"
"LS.6",650,110,"LS"
"MO.10",3550,920,"MO"
"MO.13",300,900,"MO"
"MO.7",700,920,"MO"
"MO.8",3400,900,"MO"
"MO.9",3400,920,"MO"
"PS.1",3250,7,"PS"
"PS.2",3550,7,"PS"
"UG.13",3000,500,"UG"
"UG.14",3950,520,"UG"
"UG.7",1250,500,"UG"
"UG.8",2150,520,"UG"
